Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TBN76NLYT9,2025-02-23 17:46:00.019,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBN76NLYT9,2025-02-23 17:46:00.019,OverDraft of Credit Party,Completed,35.0,,35.0
TBN95W5E5N,2025-02-23 14:41:00.038,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBN95W5E5N,2025-02-23 14:41:00.038,OverDraft of Credit Party,Completed,30.0,,30.0
TBN74N8SBX,2025-02-23 08:55:59.981,Withdrawal Charge,Completed,,-29.0,0.0
TBN74N8SBX,2025-02-23 08:55:59.981,Customer Withdrawal at Agent Till with Fuliza to 3000742 - Mima constructions Bencom Investment Kwa Ngolia Wote,Completed,,-1000.0,29.0
TBN74N8SBX,2025-02-23 08:55:59.981,OverDraft of Credit Party,Completed,1029.0,,1029.0
TBN44HU9KO,2025-02-23 08:08:00.010,Airtime Purchase with Fuliza,Completed,,-20.0,0.0
TBN44HU9KO,2025-02-23 08:08:00.010,OverDraft of Credit Party,Completed,20.0,,20.0
TBM43P6YG0,2025-02-22 21:22:00.019,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBM43P6YG0,2025-02-22 21:22:00.019,OverDraft of Credit Party,Completed,30.0,,30.0
TBM53ABTQB,2025-02-22 20:10:59.981,Airtime Purchase with Fuliza,Completed,,-45.0,0.0
TBM53ABTQB,2025-02-22 20:10:59.981,OverDraft of Credit Party,Completed,45.0,,45.0
TBM438K5IU,2025-02-22 20:03:59.990,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBM438K5IU,2025-02-22 20:03:59.990,OverDraft of Credit Party,Completed,35.0,,35.0
TBM2346C7U,2025-02-22 19:45:59.990,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBM2346C7U,2025-02-22 19:45:59.990,OverDraft of Credit Party,Completed,35.0,,35.0
TBM01UHZBG,2025-02-22 15:49:00.019,Airtime Purchase with Fuliza,Completed,,-15.0,0.0
TBM01UHZBG,2025-02-22 15:49:00.019,OverDraft of Credit Party,Completed,15.0,,15.0
TBM71MYYKL,2025-02-22 15:00:00.000,Airtime Purchase with Fuliza,Completed,,-20.0,0.0
TBM71MYYKL,2025-02-22 15:00:00.000,OverDraft of Credit Party,Completed,20.0,,20.0
TBM01HIL8A,2025-02-22 14:24:00.000,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBM01HIL8A,2025-02-22 14:24:00.000,OverDraft of Credit Party,Completed,30.0,,30.0
TBM1ZWADCJ,2025-02-22 12:02:59.971,Airtime Purchase with Fuliza,Completed,,-40.0,0.0
TBM1ZWADCJ,2025-02-22 12:02:59.971,OverDraft of Credit Party,Completed,40.0,,40.0
TBM8ZPWME0,2025-02-22 11:19:59.981,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBM8ZPWME0,2025-02-22 11:19:59.981,OverDraft of Credit Party,Completed,30.0,,30.0
TBM8Z0S5UK,2025-02-22 08:12:59.990,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBM8Z0S5UK,2025-02-22 08:12:59.990,OverDraft of Credit Party,Completed,30.0,,30.0
TBL8Y18BU4,2025-02-21 20:50:00.038,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBL8Y18BU4,2025-02-21 20:50:00.038,OverDraft of Credit Party,Completed,30.0,,30.0
TBL9WVLHTT,2025-02-21 17:46:59.981,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBL9WVLHTT,2025-02-21 17:46:59.981,OverDraft of Credit Party,Completed,30.0,,30.0
TBL5W0UPUX,2025-02-21 14:28:00.019,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBL5W0UPUX,2025-02-21 14:28:00.019,OverDraft of Credit Party,Completed,30.0,,30.0
TBL3VB38GT,2025-02-21 11:30:59.990,Pay Bill Charge,Completed,,-5.0,0.0
TBL3VB38GT,2025-02-21 11:30:59.990,"Pay Bill Fuliza M-Pesa to 303030
- Absa Bank Kenya PLC Acc. 2030868318",Completed,,-300.0,5.0
TBL3VB38GT,2025-02-21 11:30:59.990,OverDraft of Credit Party,Completed,305.0,,305.0
TBL2VA9M2I,2025-02-21 11:26:00.010,Airtime Purchase with Fuliza,Completed,,-32.0,0.0
TBL2VA9M2I,2025-02-21 11:26:00.010,OverDraft of Credit Party,Completed,32.0,,32.0
TBL8UJ9BPE,2025-02-21 08:05:00.038,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBL8UJ9BPE,2025-02-21 08:05:00.038,OverDraft of Credit Party,Completed,30.0,,30.0
TBL1U6HE09,2025-02-21 01:39:00.000,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBL1U6HE09,2025-02-21 01:39:00.000,OverDraft of Credit Party,Completed,30.0,,30.0
TBK7TRFEXJ,2025-02-20 21:29:00.010,Airtime Purchase with Fuliza,Completed,,-32.0,0.0
TBK7TRFEXJ,2025-02-20 21:29:00.010,OverDraft of Credit Party,Completed,32.0,,32.0
TBK1SGX0L3,2025-02-20 17:55:59.981,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBK1SGX0L3,2025-02-20 17:55:59.981,OverDraft of Credit Party,Completed,30.0,,30.0
TBK1RLFCID,2025-02-20 14:26:59.971,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBK1RLFCID,2025-02-20 14:26:59.971,OverDraft of Credit Party,Completed,35.0,,35.0
TBK9Q9UQN5,2025-02-20 08:46:00.019,Airtime Purchase with Fuliza,Completed,,-40.0,0.0
TBK9Q9UQN5,2025-02-20 08:46:00.019,OverDraft of Credit Party,Completed,40.0,,40.0
TBK5PUQFA9,2025-02-20 05:41:00.038,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBK5PUQFA9,2025-02-20 05:41:00.038,OverDraft of Credit Party,Completed,30.0,,30.0
TBJ6OOXEK6,2025-02-19 19:39:59.962,Airtime Purchase with Fuliza,Completed,,-32.0,0.0
TBJ6OOXEK6,2025-02-19 19:39:59.962,OverDraft of Credit Party,Completed,32.0,,32.0
TBJ2O3BTF0,2025-02-19 18:04:59.981,Airtime Purchase with Fuliza,Completed,,-25.0,0.0
TBJ2O3BTF0,2025-02-19 18:04:59.981,OverDraft of Credit Party,Completed,25.0,,25.0
TBJ3NG159T,2025-02-19 15:38:00.010,Airtime Purchase with Fuliza,Completed,,-15.0,0.0
TBJ3NG159T,2025-02-19 15:38:00.010,OverDraft of Credit Party,Completed,15.0,,15.0
TBJ7NFXP15,2025-02-19 15:36:59.962,Airtime Purchase with Fuliza,Completed,,-28.0,0.0
TBJ7NFXP15,2025-02-19 15:36:59.962,OverDraft of Credit Party,Completed,19.25,,28.0
TBJ3N1VNGJ,2025-02-19 13:56:00.038,Airtime Purchase,Completed,,-20.0,8.75
TBJ8N18GKU,2025-02-19 13:50:59.971,Pay Bill Charge,Completed,,-42.0,28.75
TBJ8N18GKU,2025-02-19 13:50:59.971,Pay Bill to 303030 - Absa Bank Kenya PLC Acc. 2030868318,Completed,,-7500.0,70.75
TBJ1N11PKV,2025-02-19 13:50:00.010,KCB M-PESA Withdraw,Completed,1200.0,,7570.75
TBJ7N0WOTT,2025-02-19 13:48:59.962,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-1429.25,6370.75
TBJ4N0WMI4,2025-02-19 13:48:59.962,KCB M-PESA Withdraw,Completed,7800.0,,7800.0
TBJ3N0N0ST,2025-02-19 13:47:00.038,KCB M-PESA Loan Request,Completed,0.0,,0.0
TBJ8MZHXGK,2025-02-19 13:39:00.000,Airtime Purchase with Fuliza,Completed,,-20.0,0.0
TBJ8MZHXGK,2025-02-19 13:39:00.000,OverDraft of Credit Party,Completed,20.0,,20.0
TBJ0MA4WSO,2025-02-19 10:43:59.981,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBJ0MA4WSO,2025-02-19 10:43:59.981,OverDraft of Credit Party,Completed,30.0,,30.0
TBJ1LESM4H,2025-02-19 05:26:59.971,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBJ1LESM4H,2025-02-19 05:26:59.971,OverDraft of Credit Party,Completed,30.0,,30.0
TBJ5LD0ZA1,2025-02-19 02:24:59.962,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBJ5LD0ZA1,2025-02-19 02:24:59.962,OverDraft of Credit Party,Completed,30.0,,30.0
TBI3L1Q3X9,2025-02-18 21:54:59.962,Airtime Purchase with Fuliza,Completed,,-32.0,0.0
TBI3L1Q3X9,2025-02-18 21:54:59.962,OverDraft of Credit Party,Completed,32.0,,32.0
TBI8JSO8O0,2025-02-18 18:22:59.981,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBI8JSO8O0,2025-02-18 18:22:59.981,OverDraft of Credit Party,Completed,30.0,,30.0
TBI8ISJYZ4,2025-02-18 14:30:00.029,Airtime Purchase with Fuliza,Completed,,-25.0,0.0
TBI8ISJYZ4,2025-02-18 14:30:00.029,OverDraft of Credit Party,Completed,25.0,,25.0
TBI8I1JIX4,2025-02-18 11:24:00.000,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBI8I1JIX4,2025-02-18 11:24:00.000,OverDraft of Credit Party,Completed,35.0,,35.0
TBI9HEKOS1,2025-02-18 08:35:59.971,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBI9HEKOS1,2025-02-18 08:35:59.971,OverDraft of Credit Party,Completed,30.0,,30.0
TBH8GJKWFQ,2025-02-17 21:31:00.019,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBH8GJKWFQ,2025-02-17 21:31:00.019,OverDraft of Credit Party,Completed,30.0,,30.0
TBH8F2KWEA,2025-02-17 17:21:59.990,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBH8F2KWEA,2025-02-17 17:21:59.990,OverDraft of Credit Party,Completed,35.0,,35.0
TBH3E6C8XF,2025-02-17 13:45:00.029,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBH3E6C8XF,2025-02-17 13:45:00.029,OverDraft of Credit Party,Completed,30.0,,30.0
TBH1DEQMZB,2025-02-17 10:36:59.990,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBH1DEQMZB,2025-02-17 10:36:59.990,OverDraft of Credit Party,Completed,30.0,,30.0
TBH9CQV4WJ,2025-02-17 07:32:59.971,Airtime Purchase with Fuliza,Completed,,-32.0,0.0
TBH9CQV4WJ,2025-02-17 07:32:59.971,OverDraft of Credit Party,Completed,32.0,,32.0
TBG4BX1SK6,2025-02-16 20:51:00.000,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBG4BX1SK6,2025-02-16 20:51:00.000,OverDraft of Credit Party,Completed,30.0,,30.0
TBG5ATAZ3D,2025-02-16 17:37:59.981,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBG5ATAZ3D,2025-02-16 17:37:59.981,OverDraft of Credit Party,Completed,35.0,,35.0
TBG8A13COS,2025-02-16 14:32:00.038,Airtime Purchase with Fuliza,Completed,,-5.0,0.0
TBG8A13COS,2025-02-16 14:32:00.038,OverDraft of Credit Party,Completed,5.0,,5.0
TBG49PR7F6,2025-02-16 13:12:59.962,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBG49PR7F6,2025-02-16 13:12:59.962,OverDraft of Credit Party,Completed,30.0,,30.0
TBG68L87PC,2025-02-16 07:47:00.038,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBG68L87PC,2025-02-16 07:47:00.038,OverDraft of Credit Party,Completed,35.0,,35.0
TBF787LHFJ,2025-02-15 23:12:00.029,Airtime Purchase with Fuliza,Completed,,-15.0,0.0
TBF787LHFJ,2025-02-15 23:12:00.029,OverDraft of Credit Party,Completed,15.0,,15.0
TBF277IMOE,2025-02-15 19:36:00.029,Airtime Purchase with Fuliza,Completed,,-45.0,0.0
TBF277IMOE,2025-02-15 19:36:00.029,OverDraft of Credit Party,Completed,45.0,,45.0
TBF56RH9PB,2025-02-15 18:29:00.010,Withdrawal Charge,Completed,,-29.0,0.0
TBF56RH9PB,2025-02-15 18:29:00.010,Customer Withdrawal at Agent Till with Fuliza to 147429 - Chaka Connections MATANGI MARKET ALONG MAKUENI WOTE ROAD,Completed,,-600.0,29.0
TBF56RH9PB,2025-02-15 18:29:00.010,OverDraft of Credit Party,Completed,629.0,,629.0
TBF16GCHAP,2025-02-15 17:33:00.000,Pay Bill Charge,Completed,,-5.0,0.0
TBF16GCHAP,2025-02-15 17:33:00.000,"Pay Bill Fuliza M-Pesa to 400200
- Co-operative Bank Money Transfer Acc. 01108579665600",Completed,,-400.0,5.0
TBF16GCHAP,2025-02-15 17:33:00.000,OverDraft of Credit Party,Completed,166.15,,405.0
TBF2635CXI,2025-02-15 16:18:00.029,Airtime Purchase,Completed,,-30.0,238.85
TBF957BONT,2025-02-15 13:03:59.962,Airtime Purchase,Completed,,-10.0,268.85
TBF356XAR7,2025-02-15 13:00:59.990,Airtime Purchase,Completed,,-30.0,278.85
TBF24ECN2W,2025-02-15 09:56:59.971,Airtime Purchase,Completed,,-30.0,308.85
TBF73S2HZH,2025-02-15 06:51:00.029,Airtime Purchase,Completed,,-30.0,338.85
TBF83NUAF2,2025-02-15 03:29:59.971,Airtime Purchase,Completed,,-30.0,368.85
TBE933K6JD,2025-02-14 21:31:00.019,Airtime Purchase,Completed,,-30.0,398.85
TBE11TEW3R,2025-02-14 18:15:59.990,Airtime Purchase,Completed,,-30.0,428.85
TBE0ZVT500,2025-02-14 15:00:00.000,Airtime Purchase,Completed,,-30.0,458.85
TBE2Z2EML8,2025-02-14 11:50:00.038,Airtime Purchase,Completed,,-30.0,488.85
TBE2YB8NPG,2025-02-14 08:44:00.010,Airtime Purchase,Completed,,-30.0,518.85
TBE5XVMJPP,2025-02-14 05:39:00.029,Airtime Purchase,Completed,,-35.0,548.85
TBD3XL3B55,2025-02-13 22:29:00.038,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-645.15,583.85
TBD2XL2YKM,2025-02-13 22:29:00.038,Funds received from - 2547******646 JANE KILONZO,Completed,1229.0,,1229.0
TBD9XI3811,2025-02-13 22:02:00.038,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBD9XI3811,2025-02-13 22:02:00.038,OverDraft of Credit Party,Completed,30.0,,30.0
TBD8WC1LNO,2025-02-13 18:44:00.038,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBD8WC1LNO,2025-02-13 18:44:00.038,OverDraft of Credit Party,Completed,30.0,,30.0
TBD6VG5Y64,2025-02-13 15:36:59.962,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBD6VG5Y64,2025-02-13 15:36:59.962,OverDraft of Credit Party,Completed,30.0,,30.0
TBD1UGGQW1,2025-02-13 11:28:00.019,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBD1UGGQW1,2025-02-13 11:28:00.019,OverDraft of Credit Party,Completed,30.0,,30.0
TBD5TKZYXT,2025-02-13 07:23:00.010,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBD5TKZYXT,2025-02-13 07:23:00.010,OverDraft of Credit Party,Completed,30.0,,30.0
TBC3T9ZD9X,2025-02-12 23:46:00.019,Airtime Purchase with Fuliza,Completed,,-32.0,0.0
TBC3T9ZD9X,2025-02-12 23:46:00.019,OverDraft of Credit Party,Completed,32.0,,32.0
TBC8SI3W2U,2025-02-12 20:12:59.990,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBC8SI3W2U,2025-02-12 20:12:59.990,OverDraft of Credit Party,Completed,30.0,,30.0
TBC4R7U08W,2025-02-12 16:32:00.010,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBC4R7U08W,2025-02-12 16:32:00.010,OverDraft of Credit Party,Completed,30.0,,30.0
TBC2PHWRJM,2025-02-12 09:20:00.010,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBC2PHWRJM,2025-02-12 09:20:00.010,OverDraft of Credit Party,Completed,30.0,,30.0
TBB4OFE89Y,2025-02-11 21:27:00.000,Airtime Purchase with Fuliza,Completed,,-25.0,0.0
TBB4OFE89Y,2025-02-11 21:27:00.000,OverDraft of Credit Party,Completed,25.0,,25.0
TBB9MGDR8N,2025-02-11 15:18:59.962,Airtime Purchase with Fuliza,Completed,,-45.0,0.0
TBB9MGDR8N,2025-02-11 15:18:59.962,OverDraft of Credit Party,Completed,45.0,,45.0
TBB5M990GJ,2025-02-11 14:28:00.019,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBB5M990GJ,2025-02-11 14:28:00.019,OverDraft of Credit Party,Completed,30.0,,30.0
TBB9LC7XFB,2025-02-11 10:41:59.971,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBB9LC7XFB,2025-02-11 10:41:59.971,OverDraft of Credit Party,Completed,35.0,,35.0
TBB0KG8EWA,2025-02-11 05:28:59.981,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBB0KG8EWA,2025-02-11 05:28:59.981,OverDraft of Credit Party,Completed,35.0,,35.0
TBB2KEC1T6,2025-02-11 02:15:00.000,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBB2KEC1T6,2025-02-11 02:15:00.000,OverDraft of Credit Party,Completed,30.0,,30.0
TBA2K9IE1A,2025-02-10 23:05:00.038,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBA2K9IE1A,2025-02-10 23:05:00.038,OverDraft of Credit Party,Completed,30.0,,30.0
TBA2IXR3LU,2025-02-10 18:45:00.000,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBA2IXR3LU,2025-02-10 18:45:00.000,OverDraft of Credit Party,Completed,30.0,,30.0
TBA7I8J1OR,2025-02-10 16:27:59.990,Airtime Purchase with Fuliza,Completed,,-35.0,0.0
TBA7I8J1OR,2025-02-10 16:27:59.990,OverDraft of Credit Party,Completed,35.0,,35.0
TBA4HFNQSK,2025-02-10 13:12:00.000,Airtime Purchase with Fuliza,Completed,,-30.0,0.0
TBA4HFNQSK,2025-02-10 13:12:00.000,OverDraft of Credit Party,Completed,30.0,,30.0
TBA6H1NGM2,2025-02-10 11:37:59.981,Airtime Purchase with Fuliza,Completed,,-45.0,0.0
TBA6H1NGM2,2025-02-10 11:37:59.981,OverDraft of Credit Party,Completed,41.76,,45.0
TBA3GE319F,2025-02-10 08:55:00.019,Airtime Purchase,Completed,,-30.0,3.24
TBA4FX7MOI,2025-02-10 05:37:00.019,Airtime Purchase,Completed,,-35.0,33.24
TB92FG58QC,2025-02-09 21:31:00.019,Airtime Purchase,Completed,,-40.0,68.24
TB93ECQHWR,2025-02-09 18:20:00.010,Airtime Purchase,Completed,,-32.0,108.24
TB90DGWOLO,2025-02-09 15:00:00.000,Airtime Purchase,Completed,,-30.0,140.24
TB97CHHMBD,2025-02-09 10:45:59.990,Airtime Purchase,Completed,,-30.0,170.24
TB98CFU466,2025-02-09 10:34:00.019,Customer Transfer of Funds Charge,Completed,,-13.0,200.24
TB98CFU466,2025-02-09 10:34:00.019,Customer Transfer to - 2547******482 FRANCIS NDAMBUKI,Completed,,-1000.0,213.24
TB96BNUCQ4,2025-02-09 02:33:59.962,Airtime Purchase,Completed,,-30.0,1213.24
TB809XFEEA,2025-02-08 18:18:00.000,Airtime Purchase,Completed,,-30.0,1243.24
TB819WAN9N,2025-02-08 18:11:59.971,Airtime Purchase,Completed,,-20.0,1273.24
TB839E3IZT,2025-02-08 16:30:00.000,Airtime Purchase,Completed,,-35.0,1293.24
TB898J63A3,2025-02-08 13:12:59.962,Customer Transfer of Funds Charge,Completed,,-13.0,1328.24
TB898J63A3,2025-02-08 13:12:59.962,Customer Transfer to - 2547******628 MICHAEL MAWEU,Completed,,-770.0,1341.24
TB8084T4UK,2025-02-08 11:39:00.029,Airtime Purchase,Completed,,-30.0,2111.24
TB8175Y4GF,2025-02-08 07:14:00.010,Airtime Purchase,Completed,,-45.0,2141.24
TB786CO2TU,2025-02-07 21:00:00.000,Airtime Purchase,Completed,,-50.0,2186.24
TB715YLXGH,2025-02-07 19:57:00.000,Airtime Purchase,Completed,,-45.0,2236.24
TB785IZ4OM,2025-02-07 18:56:00.010,Merchant Payment to 998108 - PIZZA IN BELLEVUE,Completed,,-1050.0,2281.24
TB725IN4PM,2025-02-07 18:54:59.962,M-Shwari Loan Request,Completed,0.0,,3331.24
TB765IMYWK,2025-02-07 18:54:59.962,M-Shwari Loan Disburse,Completed,2955.0,,3331.24
TB754QOGPP,2025-02-07 16:30:00.000,Merchant Payment to 515012 - Naivas Supermarket Hazina,Completed,,-108.0,376.24
TB724OYV6I,2025-02-07 16:20:00.038,Withdrawal Charge,Completed,,-29.0,484.24
TB724OYV6I,2025-02-07 16:20:00.038,Customer Withdrawal At Agent Till 235279 - Pure Logics Sunshine Shoes store Muthurwa Mkt Nairobi,Completed,,-350.0,513.24
TB783KCUCQ,2025-02-07 11:53:00.010,Airtime Purchase,Completed,,-65.0,863.24
TB703GSSLE,2025-02-07 11:28:59.981,Customer Transfer to - 2547******341 Faith Mutisya,Completed,,-60.0,928.24
TB713FSPP5,2025-02-07 11:21:59.990,Merchant Payment to 515012 - Naivas Supermarket Hazina,Completed,,-334.0,988.24
TB74379FXW,2025-02-07 10:23:59.971,Airtime Purchase,Completed,,-30.0,1322.24
TB702J6H7Y,2025-02-07 07:18:00.029,Airtime Purchase,Completed,,-30.0,1352.24
TB722CKV98,2025-02-07 04:12:00.000,Airtime Purchase,Completed,,-20.0,1382.24
TB611V39QB,2025-02-06 21:27:59.962,Airtime Purchase,Completed,,-60.0,1402.24
TB601698R4,2025-02-06 19:36:00.029,Withdrawal Charge,Completed,,-29.0,1462.24
TB601698R4,2025-02-06 19:36:00.029,Customer Withdrawal At Agent Till 363809 - Nduwa Ent Engorika Shop Hazina Estate Agg,Completed,,-350.0,1491.24
TB64ZM9QGQ,2025-02-06 18:09:59.962,Airtime Purchase,Completed,,-21.0,1841.24
TB62YLJT90,2025-02-06 14:21:59.990,Airtime Purchase,Completed,,-30.0,1862.24
TB63XTTSD1,2025-02-06 11:17:59.971,Airtime Purchase,Completed,,-30.0,1892.24
TB68XEV8T8,2025-02-06 09:33:00.029,Airtime Purchase,Completed,,-50.0,1922.24
TB65X49L53,2025-02-06 08:12:59.990,Airtime Purchase,Completed,,-32.0,1972.24
TB63WS89J7,2025-02-06 05:08:59.971,Airtime Purchase,Completed,,-30.0,2004.24
TB51W4K54V,2025-02-05 21:13:59.981,Airtime Purchase,Completed,,-30.0,2034.24
TB52W1WR8W,2025-02-05 21:00:00.000,Funds received from - 2547******503 ANN KILONZO,Completed,1000.0,,2064.24
TB54USH84C,2025-02-05 17:42:59.962,Airtime Purchase,Completed,,-35.0,1064.24
TB52UE2ZJC,2025-02-05 16:18:59.990,Customer Transfer to - 2547******341 Faith Mutisya,Completed,,-100.0,1099.24
TB58UDLQ44,2025-02-05 16:16:00.019,Merchant Payment to 7802055 - JOSEPH MUTUA,Completed,,-85.0,1199.24
TB56UCUH0C,2025-02-05 16:11:00.038,Airtime Purchase,Completed,,-30.0,1284.24
TB55TIN42J,2025-02-05 12:51:00.029,Airtime Purchase,Completed,,-30.0,1314.24
TB53SRKL75,2025-02-05 09:45:00.000,Airtime Purchase,Completed,,-30.0,1344.24
TB54S4OE8G,2025-02-05 06:02:00.010,Airtime Purchase,Completed,,-35.0,1374.24
TB48RHC25K,2025-02-04 20:59:00.038,Airtime Purchase,Completed,,-30.0,1409.24
TB44QS2JFY,2025-02-04 19:14:00.010,Customer Payment to Small Business to - 2547******179 MIRIAM DIBO,Completed,,-20.0,1439.24
TB43QRC45J,2025-02-04 19:11:00.038,Customer Payment to Small Business to - 2547******313 CHARITY NYAGA,Completed,,-50.0,1459.24
TB43QQ8YFJ,2025-02-04 19:05:59.971,Merchant Payment to 515012 - Naivas Supermarket Hazina,Completed,,-464.0,1509.24
TB42QOW230,2025-02-04 19:00:59.990,Airtime Purchase,Completed,,-35.0,1973.24
TB48PJXQEG,2025-02-04 15:08:00.038,Airtime Purchase,Completed,,-45.0,2008.24
TB45OUXD9B,2025-02-04 12:22:00.019,Airtime Purchase,Completed,,-30.0,2053.24
TB49O1TD6B,2025-02-04 08:55:59.981,Airtime Purchase,Completed,,-30.0,2083.24
TB44NKXBYS,2025-02-04 05:37:59.981,Airtime Purchase,Completed,,-32.0,2113.24
TB34N89P4A,2025-02-03 22:05:00.010,Airtime Purchase,Completed,,-30.0,2145.24
TB39MKP467,2025-02-03 19:59:59.971,Merchant Payment to 515012 - Naivas Supermarket Hazina,Completed,,-343.0,2175.24
TB37M4PMEZ,2025-02-03 18:58:59.981,Airtime Purchase,Completed,,-32.0,2518.24
TB34L5IOLU,2025-02-03 15:45:59.962,Airtime Purchase,Completed,,-35.0,2550.24
TB32KCUWFI,2025-02-03 12:40:00.019,Airtime Purchase,Completed,,-38.0,2585.24
TB32J2AE1Q,2025-02-03 06:42:00.029,Airtime Purchase,Completed,,-32.0,2623.24
TB35IXB8RX,2025-02-03 02:06:00.000,Airtime Purchase,Completed,,-30.0,2655.24
TB27ILXWC1,2025-02-02 21:56:00.010,Airtime Purchase,Completed,,-35.0,2685.24
TB29I6S7OB,2025-02-02 20:23:00.038,Withdrawal Charge,Completed,,-29.0,2720.24
TB29I6S7OB,2025-02-02 20:23:00.038,"Customer Withdrawal At Agent Till 2086781 -  ALLTECHS
EXPRESS LtdSouth B",Completed,,-250.0,2749.24
TB20I6JU3Y,2025-02-02 20:21:59.990,M-Shwari Loan Request,Completed,0.0,,2999.24
TB23I6JRXP,2025-02-02 20:21:59.990,M-Shwari Loan Disburse,Completed,2955.0,,2999.24
TB24I6CUS0,2025-02-02 20:21:00.029,Pay Bill Charge,Completed,,-10.0,44.24
TB24I6CUS0,2025-02-02 20:21:00.029,Pay Bill to 880100 - NCBA BANK KENYA PLC. Acc. 893892,Completed,,-900.0,54.24
TB20HL7ME4,2025-02-02 18:49:59.981,Airtime Purchase,Completed,,-30.0,954.24
TB28GPQ4N4,2025-02-02 15:49:59.981,Pay Bill Charge,Completed,,-10.0,984.24
TB28GPQ4N4,2025-02-02 15:49:59.981,"Pay Bill Online to 4136811 - GLADYS TECHNOLOGIES Acc.
ALX, a San",Completed,,-646.0,994.24
TB24GKIB5O,2025-02-02 15:15:59.990,Airtime Purchase,Completed,,-30.0,1640.24
TB24GJAQ5I,2025-02-02 15:08:00.038,Merchant Payment to 515012 - Naivas Supermarket Hazina,Completed,,-258.0,1670.24
TB21FFCVH1,2025-02-02 10:23:59.971,Withdrawal Charge,Completed,,-29.0,1928.24
TB21FFCVH1,2025-02-02 10:23:59.971,Customer Withdrawal At Agent Till 418335 -  Daviski co ltdGeneral Shop Aoko Road,Completed,,-350.0,1957.24
TB23F3RGK7,2025-02-02 08:53:00.010,Airtime Purchase,Completed,,-30.0,2307.24
TB17B7FIWT,2025-02-01 11:53:59.971,Airtime Purchase,Completed,,-30.0,2337.24
TB11B7B00R,2025-02-01 11:53:00.010,Airtime Purchase,Completed,,-100.0,2367.24
TB17AB9P4X,2025-02-01 08:03:00.029,Airtime Purchase,Completed,,-25.0,2467.24
TB19A5GVN9,2025-02-01 07:00:00.029,Airtime Purchase,Completed,,-30.0,2492.24
TB18A0Y8CO,2025-02-01 03:44:00.038,Airtime Purchase,Completed,,-40.0,2522.24
TAV88KOP10,2025-01-31 19:02:00.038,Airtime Purchase,Completed,,-30.0,2562.24
TAV47LUFWO,2025-01-31 15:58:59.981,Airtime Purchase,Completed,,-30.0,2592.24
TAV06TM6M0,2025-01-31 12:49:59.981,Airtime Purchase,Completed,,-20.0,2622.24
TAV56TE47P,2025-01-31 12:49:00.019,Purchase,Completed,,-28.0,2642.24
TAV562BGD7,2025-01-31 09:36:59.962,Purchase,Completed,,-30.0,2670.24
